100,0.00322803
200,0.005527
300,0.00946527
400,0.01585099
500,0.02514012
600,0.0409884
700,0.05722245
800,0.08148406
900,0.12385376
1000,0.16644289
1100,0.2175867
1200,0.27547396
1300,0.32890011
1400,0.44128167
1500,0.52668381
1600,0.6606601
1700,0.74898485
1800,0.85122475
1900,1.03666257
2000,1.19225615
2100,1.39619552
2200,1.5685205
2300,1.79557955
2400,2.0372268
2500,2.37091643
2600,2.6633804
2700,2.99057432
2800,3.28006904
2900,3.65892789
3000,4.07222162
3100,4.48570321
3200,4.90869045
3300,5.74465597
3400,7.08844147
3500,8.37671661
3600,9.75067264
3700,11.16671398
3800,12.60994625
3900,14.17927031
4000,15.89956148
4100,17.63943476
4200,19.4756052
4300,21.41753792
4400,23.50650251
4500,25.79502081
4600,28.00728564
4700,30.31325421
4800,32.93405637
4900,35.34619593
5000,38.16806075
